epoch,train_loss,val_loss,train_acc,val_acc,iteration,mid_layer,dropout,dataset,network,lr
0,2.3173136711120605,2.2933995723724365,0.0546875,0.1,1,2,0.0,mnist,multiclass_mlp,0.001
1,2.307993173599243,2.2903809547424316,0.09375,0.11,1,2,0.0,mnist,multiclass_mlp,0.001
2,2.3029463291168213,2.2865352630615234,0.125,0.11,1,2,0.0,mnist,multiclass_mlp,0.001
3,2.298689126968384,2.28084135055542,0.1171875,0.11,1,2,0.0,mnist,multiclass_mlp,0.001
4,2.293452262878418,2.272491216659546,0.125,0.14,1,2,0.0,mnist,multiclass_mlp,0.001
5,2.2846202850341797,2.2629408836364746,0.15625,0.15,1,2,0.0,mnist,multiclass_mlp,0.001
6,2.273446798324585,2.251168727874756,0.171875,0.17,1,2,0.0,mnist,multiclass_mlp,0.001
7,2.2618868350982666,2.2422378063201904,0.1875,0.18,1,2,0.0,mnist,multiclass_mlp,0.001
8,2.252750873565674,2.2379965782165527,0.1875,0.16,1,2,0.0,mnist,multiclass_mlp,0.001
9,2.2468438148498535,2.235971212387085,0.1875,0.16,1,2,0.0,mnist,multiclass_mlp,0.001
10,2.2424302101135254,2.2343766689300537,0.1640625,0.16,1,2,0.0,mnist,multiclass_mlp,0.001
11,2.238389015197754,2.2318341732025146,0.1640625,0.16,1,2,0.0,mnist,multiclass_mlp,0.001
12,2.23390531539917,2.2286665439605713,0.1640625,0.16,1,2,0.0,mnist,multiclass_mlp,0.001
13,2.2301411628723145,2.2253713607788086,0.1796875,0.16,1,2,0.0,mnist,multiclass_mlp,0.001
14,2.227222442626953,2.2221901416778564,0.171875,0.17,1,2,0.0,mnist,multiclass_mlp,0.001
15,2.2247402667999268,2.2186338901519775,0.1796875,0.18,1,2,0.0,mnist,multiclass_mlp,0.001
16,2.2224020957946777,2.2153940200805664,0.1875,0.19,1,2,0.0,mnist,multiclass_mlp,0.001
17,2.2207460403442383,2.2134344577789307,0.1953125,0.19,1,2,0.0,mnist,multiclass_mlp,0.001
18,2.2194135189056396,2.211772918701172,0.1875,0.19,1,2,0.0,mnist,multiclass_mlp,0.001
19,2.2180984020233154,2.2103872299194336,0.1875,0.2,1,2,0.0,mnist,multiclass_mlp,0.001
20,2.216780185699463,2.2091264724731445,0.1875,0.19,1,2,0.0,mnist,multiclass_mlp,0.001
21,2.2154903411865234,2.2082037925720215,0.1875,0.19,1,2,0.0,mnist,multiclass_mlp,0.001
22,2.214299201965332,2.2073936462402344,0.1953125,0.19,1,2,0.0,mnist,multiclass_mlp,0.001
23,2.2132978439331055,2.2067487239837646,0.1953125,0.19,1,2,0.0,mnist,multiclass_mlp,0.001
24,2.2123780250549316,2.2062392234802246,0.1875,0.18,1,2,0.0,mnist,multiclass_mlp,0.001
25,2.211509943008423,2.205847978591919,0.1875,0.18,1,2,0.0,mnist,multiclass_mlp,0.001
26,2.2107343673706055,2.2055110931396484,0.1875,0.18,1,2,0.0,mnist,multiclass_mlp,0.001
27,2.210110664367676,2.20513916015625,0.1875,0.18,1,2,0.0,mnist,multiclass_mlp,0.001
28,2.2095372676849365,2.2047481536865234,0.1875,0.17,1,2,0.0,mnist,multiclass_mlp,0.001
29,2.2089598178863525,2.2043137550354004,0.1875,0.17,1,2,0.0,mnist,multiclass_mlp,0.001
30,2.2084085941314697,2.203965902328491,0.1875,0.16,1,2,0.0,mnist,multiclass_mlp,0.001
31,2.2078094482421875,2.203632116317749,0.1875,0.16,1,2,0.0,mnist,multiclass_mlp,0.001
32,2.207190990447998,2.2033321857452393,0.1875,0.16,1,2,0.0,mnist,multiclass_mlp,0.001
33,2.20658802986145,2.2030997276306152,0.1875,0.16,1,2,0.0,mnist,multiclass_mlp,0.001
34,2.206010341644287,2.2029781341552734,0.1796875,0.16,1,2,0.0,mnist,multiclass_mlp,0.001
35,2.205453634262085,2.202913761138916,0.171875,0.16,1,2,0.0,mnist,multiclass_mlp,0.001
36,2.2049012184143066,2.202880859375,0.171875,0.16,1,2,0.0,mnist,multiclass_mlp,0.001
37,2.204366445541382,2.2028648853302,0.1796875,0.16,1,2,0.0,mnist,multiclass_mlp,0.001
38,2.2038252353668213,2.2028403282165527,0.1796875,0.16,1,2,0.0,mnist,multiclass_mlp,0.001
39,2.2032976150512695,2.202765464782715,0.1796875,0.16,1,2,0.0,mnist,multiclass_mlp,0.001
40,2.2027573585510254,2.202638626098633,0.1875,0.16,1,2,0.0,mnist,multiclass_mlp,0.001
41,2.2022147178649902,2.2024996280670166,0.1875,0.16,1,2,0.0,mnist,multiclass_mlp,0.001
42,2.201716899871826,2.202371597290039,0.1875,0.16,1,2,0.0,mnist,multiclass_mlp,0.001
43,2.201275587081909,2.202221393585205,0.1953125,0.16,1,2,0.0,mnist,multiclass_mlp,0.001
44,2.2008535861968994,2.2020440101623535,0.1953125,0.17,1,2,0.0,mnist,multiclass_mlp,0.001
45,2.2004494667053223,2.201845169067383,0.1953125,0.17,1,2,0.0,mnist,multiclass_mlp,0.001
46,2.2000772953033447,2.2016026973724365,0.1953125,0.17,1,2,0.0,mnist,multiclass_mlp,0.001
47,2.1996986865997314,2.2013559341430664,0.1953125,0.16,1,2,0.0,mnist,multiclass_mlp,0.001
48,2.199270725250244,2.201043128967285,0.1953125,0.16,1,2,0.0,mnist,multiclass_mlp,0.001
49,2.1988234519958496,2.2006008625030518,0.1953125,0.16,1,2,0.0,mnist,multiclass_mlp,0.001
50,2.1984519958496094,2.2000677585601807,0.203125,0.16,1,2,0.0,mnist,multiclass_mlp,0.001
51,2.1980228424072266,2.199495792388916,0.203125,0.16,1,2,0.0,mnist,multiclass_mlp,0.001
52,2.1976442337036133,2.198960065841675,0.203125,0.16,1,2,0.0,mnist,multiclass_mlp,0.001
53,2.197296142578125,2.1984646320343018,0.203125,0.17,1,2,0.0,mnist,multiclass_mlp,0.001
54,2.1969356536865234,2.198042631149292,0.1953125,0.17,1,2,0.0,mnist,multiclass_mlp,0.001
55,2.1965551376342773,2.197674036026001,0.203125,0.16,1,2,0.0,mnist,multiclass_mlp,0.001
56,2.196173906326294,2.197368860244751,0.2109375,0.16,1,2,0.0,mnist,multiclass_mlp,0.001
57,2.195758104324341,2.1970884799957275,0.2109375,0.16,1,2,0.0,mnist,multiclass_mlp,0.001
58,2.1953439712524414,2.196788787841797,0.203125,0.16,1,2,0.0,mnist,multiclass_mlp,0.001
59,2.19492769241333,2.1964383125305176,0.203125,0.16,1,2,0.0,mnist,multiclass_mlp,0.001
60,2.194504499435425,2.196044921875,0.203125,0.16,1,2,0.0,mnist,multiclass_mlp,0.001
61,2.194066047668457,2.1956167221069336,0.203125,0.16,1,2,0.0,mnist,multiclass_mlp,0.001
62,2.193577766418457,2.19516658782959,0.1953125,0.16,1,2,0.0,mnist,multiclass_mlp,0.001
63,2.1930744647979736,2.1946582794189453,0.1953125,0.17,1,2,0.0,mnist,multiclass_mlp,0.001
64,2.1925594806671143,2.1940717697143555,0.1953125,0.17,1,2,0.0,mnist,multiclass_mlp,0.001
65,2.1920223236083984,2.1934902667999268,0.1953125,0.17,1,2,0.0,mnist,multiclass_mlp,0.001
66,2.1914942264556885,2.1929476261138916,0.1953125,0.17,1,2,0.0,mnist,multiclass_mlp,0.001
67,2.1909825801849365,2.1924495697021484,0.1953125,0.17,1,2,0.0,mnist,multiclass_mlp,0.001
68,2.1904520988464355,2.1919643878936768,0.1953125,0.17,1,2,0.0,mnist,multiclass_mlp,0.001
69,2.1898880004882812,2.1914446353912354,0.203125,0.17,1,2,0.0,mnist,multiclass_mlp,0.001
70,2.189295768737793,2.1909375190734863,0.21875,0.17,1,2,0.0,mnist,multiclass_mlp,0.001
71,2.1887106895446777,2.1904306411743164,0.21875,0.17,1,2,0.0,mnist,multiclass_mlp,0.001
72,2.1881096363067627,2.189911365509033,0.2265625,0.17,1,2,0.0,mnist,multiclass_mlp,0.001
73,2.187523126602173,2.1893529891967773,0.2421875,0.17,1,2,0.0,mnist,multiclass_mlp,0.001
74,2.1869587898254395,2.188748359680176,0.2421875,0.17,1,2,0.0,mnist,multiclass_mlp,0.001
75,2.186375379562378,2.188093900680542,0.234375,0.17,1,2,0.0,mnist,multiclass_mlp,0.001
76,2.1857547760009766,2.1874117851257324,0.234375,0.19,1,2,0.0,mnist,multiclass_mlp,0.001
77,2.1851768493652344,2.1867640018463135,0.234375,0.21,1,2,0.0,mnist,multiclass_mlp,0.001
78,2.184542179107666,2.1861047744750977,0.234375,0.21,1,2,0.0,mnist,multiclass_mlp,0.001
79,2.1839375495910645,2.1854214668273926,0.2421875,0.21,1,2,0.0,mnist,multiclass_mlp,0.001
80,2.183269500732422,2.184715747833252,0.25,0.22,1,2,0.0,mnist,multiclass_mlp,0.001
81,2.182615041732788,2.184026002883911,0.25,0.22,1,2,0.0,mnist,multiclass_mlp,0.001
